iter	Passed	Remaining
0	0	98
1	1	93
2	5	193
3	7	169
4	8	164
5	9	153
6	10	143
7	11	134
8	12	126
9	13	119
10	14	114
11	15	111
12	15	107
13	16	103
14	17	99
15	18	96
16	19	93
17	19	90
18	20	87
19	21	85
20	22	83
21	22	81
22	23	79
23	24	77
24	25	75
25	25	73
26	26	71
27	27	70
28	27	68
29	28	67
30	29	65
31	30	64
32	31	63
33	32	62
34	32	60
35	33	59
36	34	58
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	32
61	51	31
62	52	30
63	53	30
64	54	29
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	66	15
81	67	14
82	68	13
83	68	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
