iter	Passed	Remaining
0	190	189855
1	197	98470
2	201	67031
3	207	51586
4	211	42119
5	215	35734
6	220	31244
7	224	27825
8	228	25202
9	234	23183
10	238	21415
11	241	19910
12	245	18649
13	251	17747
14	256	16816
15	259	15962
16	264	15271
17	268	14636
18	271	14039
19	275	13496
20	280	13059
21	283	12614
22	286	12189
23	291	11846
24	297	11592
25	301	11295
26	306	11045
27	311	10805
28	315	10559
29	319	10329
30	324	10132
31	328	9933
32	332	9737
33	336	9554
34	341	9412
35	345	9260
36	349	9107
37	354	8982
38	359	8857
39	363	8723
40	367	8594
41	372	8489
42	376	8381
43	380	8258
44	383	8144
45	388	8064
46	392	7954
47	396	7856
48	400	7769
49	404	7692
50	409	7616
51	413	7537
52	418	7475
53	422	7393
54	425	7310
55	429	7243
56	434	7180
57	437	7102
58	440	7029
59	444	6968
60	449	6915
61	453	6861
62	457	6808
63	462	6758
64	465	6696
65	469	6645
66	473	6587
67	477	6548
68	480	6489
69	484	6439
70	487	6380
71	491	6329
72	494	6282
73	498	6241
74	502	6195
75	508	6183
76	511	6137
77	515	6093
78	518	6050
79	524	6026
80	527	5985
81	530	5943
82	532	5887
83	536	5855
84	540	5820
85	544	5782
86	547	5747
87	551	5716
88	554	5680
89	558	5645
90	561	5607
91	564	5574
92	569	5552
93	573	5522
94	576	5494
95	580	5467
96	586	5462
97	590	5438
98	594	5413
99	600	5406
100	604	5381
101	608	5354
102	614	5352
103	618	5332
104	622	5304
105	626	5287
106	632	5274
107	635	5248
108	640	5235
109	644	5215
110	647	5182
111	649	5150
112	651	5117
113	653	5080
114	655	5043
115	657	5010
116	659	4977
117	661	4941
118	662	4905
119	664	4870
120	665	4835
121	666	4799
122	668	4766
123	669	4732
124	672	4705
125	674	4675
126	675	4641
127	676	4610
128	678	4579
129	679	4548
130	681	4518
131	682	4489
132	684	4460
133	686	4434
134	688	4409
135	689	4381
136	691	4354
137	692	4326
138	694	4300
139	696	4275
140	697	4250
141	698	4222
142	700	4198
143	702	4178
144	704	4153
145	705	4128
146	707	4104
147	708	4079
148	709	4054
149	711	4030
150	712	4006
151	713	3983
152	715	3959
153	716	3937
154	718	3916
155	719	3895
156	721	3873
157	722	3851
158	724	3830
159	725	3809
160	726	3786
161	727	3765
